Diploma,MinYearsExperience,Role,Contract,Industry,Canton,Perks,CompanySize,Languages,Holidays,MaternityLeaveWeeks,PaternityLeaveWeeks,WorkloadPercent,SalaryCHF
Bachelor,4 to 10,Senior,Permanent,IT,VD,"AG (train pass), Stock options",Large (1000+),French,25,14.0,2.0,80,167400
Bachelor,4 to 10,Senior,Permanent,Hospitality,TI,"Housing support, AG (train pass)",Medium (200-1000),"Italian, English",24,22.0,2.0,100,91100
Bachelor,0 to 2,Junior,2 years,Construction,BS,None,Large (1000+),German,30,14.0,3.0,70,46500
Bachelor,0 to 2,Junior,Permanent,IT,ZH,None,Small (50-200),German,20,,,100,74900
PhD,7 to 20,Manager,Permanent,Hospitality,AG,None,Startup (<50),German,25,14.0,2.0,80,140900
Master,0 to 0,Intern,1 year,IT,TI,None,Startup (<50),"Italian, English",26,,,70,25000
PhD,4 to 10,Senior,Permanent,Public Sector,LU,None,Medium (200-1000),"French, German",23,,,70,131400
Master,2 to 6,Mid-level,2 years,Manufacturing,SZ,"Car, AG (train pass)",Small (50-200),German,20,16.0,3.0,90,67000
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,GE,None,Startup (<50),French,23,14.0,2.0,100,65300
Bachelor,4 to 10,Senior,Permanent,Education,ZH,None,Small (50-200),"English, German",25,,,70,88900
Bachelor,4 to 10,Senior,Permanent,Finance,BS,"Housing support, Stock options",Large (1000+),,23,16.0,4.0,100,221900
Master,0 to 2,Junior,Permanent,Manufacturing,TI,Housing support,Small (50-200),"Italian, German",24,16.0,2.0,70,38800
Bachelor,2 to 6,Mid-level,Permanent,Healthcare,AG,AG (train pass),Startup (<50),,22,,,90,63700
PhD,6 to 15,Lead,Permanent,Public Sector,SG,"Stock options, Car",Small (50-200),"English, German",25,14.0,2.0,100,201100
Master,0 to 2,Junior,Permanent,Consulting,GE,Meal vouchers,Medium (200-1000),"French, English",26,,,80,87000
Bachelor,0 to 2,Junior,Permanent,Hospitality,LU,None,Small (50-200),"English, German",25,,,100,43100
Bachelor,0 to 2,Junior,1 year,Energy,AG,Housing support,Medium (200-1000),German,30,18.0,2.0,90,55200
Bachelor,2 to 6,Mid-level,Permanent,IT,ZH,"Housing support, Meal vouchers",Small (50-200),"English, German",30,,,100,112300
Bachelor,2 to 6,Mid-level,2 years,Finance,SZ,,Startup (<50),German,25,22.0,2.0,100,71500
Bachelor,0 to 2,Junior,1 year,Consulting,BE,AG (train pass),Startup (<50),German,25,,,90,40100
PhD,2 to 6,Mid-level,Permanent,Education,ZH,Meal vouchers,Startup (<50),"English, German",30,14.0,5.0,80,72900
Bachelor,0 to 2,Junior,Permanent,Consulting,BL,,Startup (<50),,25,,,80,38600
Master,0 to 0,Intern,1 year,Pharma,VD,"Meal vouchers, Car",Medium (200-1000),French,25,14.0,3.0,100,58300
Master,0 to 2,Junior,1 year,IT,ZH,None,Startup (<50),German,25,,,50,30800
Master,6 to 15,Lead,Permanent,Construction,BE,None,Small (50-200),"French, English, German",23,,,100,168300
Master,6 to 15,Lead,Permanent,Manufacturing,BL,Meal vouchers,Large (1000+),"French, German",25,14.0,2.0,100,251100
Apprenticeship,0 to 2,Junior,1 year,Pharma,ZH,Housing support,Small (50-200),"English, German",28,16.0,3.0,100,60900
Master,4 to 10,Senior,Permanent,IT,ZH,,Small (50-200),"English, German",27,14.0,3.0,100,181900
Bachelor,4 to 10,Senior,Permanent,Retail,LU,None,Startup (<50),"French, German",26,16.0,4.0,90,71600
Master,6 to 15,Lead,Permanent,Manufacturing,ZH,None,Medium (200-1000),"English, German",28,24.0,2.0,60,135900
Bachelor,2 to 6,Mid-level,2 years,Manufacturing,JU,None,Startup (<50),"French, German",24,22.0,3.0,100,40100
Master,2 to 6,Mid-level,2 years,Finance,LU,"Stock options, Car",Medium (200-1000),"English, German",22,14.0,2.0,80,101900
Master,7 to 20,Manager,Permanent,Healthcare,BE,"AG (train pass), Stock options",Small (50-200),"French, English, German",25,16.0,2.0,80,217700
Bachelor,0 to 0,Intern,6 months,Manufacturing,LU,"AG (train pass), Car",Startup (<50),"English, German",35,,,90,25000
Master,4 to 10,Senior,Permanent,Healthcare,VS,None,Medium (200-1000),"French, English, German",26,,,100,151800
PhD,4 to 10,Senior,Permanent,Energy,NW,None,Medium (200-1000),"English, German",22,,,80,153500
Master,2 to 6,Mid-level,2 years,Energy,AG,Stock options,Small (50-200),,24,,,100,83400
Master,6 to 15,Lead,Permanent,Education,TI,None,Small (50-200),Italian,20,,,100,134700
Bachelor,4 to 10,Senior,Permanent,Healthcare,AG,Meal vouchers,Small (50-200),"English, German",23,14.0,2.0,100,117400
Bachelor,2 to 6,Mid-level,2 years,Energy,VS,None,Medium (200-1000),"French, German",24,14.0,4.0,80,66400
Master,4 to 10,Senior,Permanent,Finance,ZH,None,Startup (<50),"English, German",28,,,100,158900
Master,4 to 10,Senior,Permanent,Healthcare,BE,Stock options,Medium (200-1000),"French, German",25,,,100,162200
PhD,2 to 6,Mid-level,2 years,Finance,AG,None,Large (1000+),German,23,14.0,3.0,100,163300
Bachelor,4 to 10,Senior,Permanent,Consulting,BE,None,Small (50-200),"English, German",20,14.0,4.0,70,92800
Bachelor,2 to 6,Mid-level,2 years,Energy,AG,"Housing support, Stock options",Startup (<50),,24,22.0,2.0,90,56300
Bachelor,0 to 2,Junior,Permanent,Manufacturing,SG,"Housing support, AG (train pass)",Startup (<50),"English, German",25,14.0,3.0,90,39400
Master,2 to 6,Mid-level,Permanent,Education,VS,Car,Small (50-200),"French, German",25,20.0,2.0,100,79200
Bachelor,2 to 6,Mid-level,2 years,Education,ZH,Housing support,Small (50-200),"English, German",25,16.0,4.0,80,54800
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,NE,"Meal vouchers, Stock options",Medium (200-1000),"French, English",26,14.0,2.0,90,81800
Bachelor,0 to 2,Junior,Permanent,Finance,BS,"Stock options, AG (train pass)",Large (1000+),German,25,14.0,2.0,70,81500
Apprenticeship,0 to 2,Junior,1 year,Pharma,BL,Housing support,Medium (200-1000),"French, German",25,14.0,2.0,70,46500
Bachelor,0 to 2,Junior,1 year,Healthcare,BS,"Stock options, Car",Medium (200-1000),"French, English, German",22,,,100,68800
PhD,2 to 6,Mid-level,2 years,Consulting,GE,"Stock options, Car",Large (1000+),"French, English",26,14.0,2.0,100,176000
Bachelor,4 to 10,Senior,Permanent,Construction,VS,"Stock options, Meal vouchers",Small (50-200),"French, German",25,14.0,8.0,80,66800
Apprenticeship,0 to 2,Junior,2 years,Public Sector,ZH,"Meal vouchers, Housing support",Small (50-200),"English, German",24,18.0,3.0,100,49700
Bachelor,0 to 2,Junior,1 year,Healthcare,BS,,Startup (<50),"English, German",27,16.0,2.0,70,29000
Bachelor,0 to 0,Intern,1 year,Public Sector,BE,AG (train pass),Small (50-200),"English, German",26,16.0,3.0,100,26900
Master,4 to 10,Senior,Permanent,Manufacturing,FR,Stock options,Large (1000+),"French, English, German",22,,,100,172000
Bachelor,2 to 6,Mid-level,Permanent,Retail,ZH,"Car, Meal vouchers",Large (1000+),"English, German",23,16.0,2.0,100,120200
Bachelor,4 to 10,Senior,Permanent,Education,AR,Stock options,Small (50-200),German,25,22.0,2.0,70,54800
Bachelor,0 to 2,Junior,1 year,IT,GE,Car,Large (1000+),"French, English",30,14.0,2.0,50,45600
Master,2 to 6,Mid-level,2 years,Manufacturing,AG,None,Small (50-200),German,28,,,90,67200
Bachelor,0 to 2,Junior,Permanent,IT,LU,"Housing support, Car",Medium (200-1000),German,28,,,50,38800
PhD,4 to 10,Senior,Permanent,Healthcare,FR,Stock options,Large (1000+),"French, English, German",30,14.0,4.0,100,191800
Master,2 to 6,Mid-level,2 years,Healthcare,LU,,Small (50-200),German,22,14.0,3.0,80,59000
Bachelor,0 to 2,Junior,2 years,Energy,VS,None,Small (50-200),"French, German",20,,,100,45400
Master,2 to 6,Mid-level,2 years,Manufacturing,BE,"AG (train pass), Housing support",Medium (200-1000),"French, German",25,,,100,97400
Bachelor,0 to 2,Junior,2 years,Finance,ZH,"Housing support, Meal vouchers",Startup (<50),German,27,14.0,3.0,50,29600
Master,6 to 15,Lead,Permanent,Manufacturing,GR,"Housing support, Stock options",Large (1000+),"Italian, German",20,20.0,2.0,90,215400
Bachelor,0 to 0,Intern,6 months,Manufacturing,AG,Stock options,Small (50-200),German,25,16.0,2.0,80,25000
Bachelor,2 to 6,Mid-level,Permanent,Energy,AG,"Meal vouchers, Car",Medium (200-1000),"English, German",25,16.0,2.0,80,91700
Bachelor,0 to 2,Junior,Permanent,Finance,SO,"Housing support, AG (train pass)",Startup (<50),,25,14.0,2.0,100,57200
Bachelor,2 to 6,Mid-level,Permanent,Construction,BL,"Housing support, Meal vouchers",Large (1000+),German,25,,,80,76000
Master,2 to 6,Mid-level,Permanent,Consulting,ZH,"Meal vouchers, Car",Medium (200-1000),German,23,14.0,2.0,60,89100
Apprenticeship,0 to 2,Junior,Permanent,Construction,ZH,Stock options,Startup (<50),"English, German",24,14.0,2.0,90,38800
Bachelor,4 to 10,Senior,Permanent,IT,ZH,Stock options,Large (1000+),"English, German",30,16.0,2.0,100,219700
PhD,7 to 20,Manager,Permanent,Healthcare,BS,None,Large (1000+),"English, German",25,14.0,2.0,100,446100
PhD,7 to 20,Manager,Permanent,Energy,BS,None,Small (50-200),German,22,,,100,315700
Master,2 to 6,Mid-level,Permanent,Education,VD,"Housing support, AG (train pass)",Medium (200-1000),French,30,16.0,2.0,100,99500
Master,7 to 20,Manager,Permanent,Pharma,VD,Stock options,Startup (<50),French,25,16.0,2.0,100,280300
Master,0 to 2,Junior,2 years,Consulting,GE,Stock options,Large (1000+),"French, English",28,20.0,2.0,80,77400
PhD,2 to 6,Mid-level,2 years,Finance,LU,"Meal vouchers, Stock options",Large (1000+),,25,,,100,166500
Master,4 to 10,Senior,Permanent,Manufacturing,TI,None,Small (50-200),Italian,25,16.0,3.0,100,104700
Master,2 to 6,Mid-level,Permanent,Manufacturing,LU,,Startup (<50),German,20,16.0,3.0,90,57800
Apprenticeship,0 to 2,Junior,1 year,Pharma,AG,None,Small (50-200),German,28,14.0,3.0,90,43500
Master,2 to 6,Mid-level,2 years,Manufacturing,ZH,Meal vouchers,Small (50-200),"English, German",25,16.0,2.0,80,71400
Master,6 to 15,Lead,Permanent,Construction,VS,AG (train pass),Startup (<50),"French, English, German",24,,,80,97400
Apprenticeship,0 to 2,Junior,2 years,Finance,ZH,Stock options,Large (1000+),German,20,22.0,6.0,80,63700
Master,7 to 20,Manager,Permanent,Pharma,BL,"AG (train pass), Stock options",Startup (<50),German,25,14.0,2.0,80,217900
Master,4 to 10,Senior,Permanent,Retail,SO,Housing support,Large (1000+),"English, German",25,14.0,2.0,100,156900
Master,7 to 20,Manager,Permanent,Manufacturing,AG,None,Small (50-200),German,22,,,100,226300
Bachelor,0 to 2,Junior,2 years,Retail,SG,Housing support,Startup (<50),"French, German",25,,,70,25000
Master,4 to 10,Senior,Permanent,Education,AG,"AG (train pass), Car",Medium (200-1000),German,25,16.0,2.0,90,130200
Master,0 to 2,Junior,2 years,Manufacturing,LU,Stock options,Medium (200-1000),German,25,16.0,2.0,60,40200
Master,0 to 0,Intern,1 year,Manufacturing,AR,Meal vouchers,Startup (<50),,20,14.0,2.0,60,25000
Master,2 to 6,Mid-level,2 years,Retail,BE,AG (train pass),Large (1000+),"French, German",28,14.0,3.0,80,72400
Master,2 to 6,Mid-level,Permanent,Consulting,ZH,None,Medium (200-1000),"English, German",28,14.0,2.0,90,137800
PhD,7 to 20,Manager,Permanent,Healthcare,VS,None,Startup (<50),"French, English, German",25,16.0,3.0,100,205500
Bachelor,0 to 0,Intern,6 months,Manufacturing,VD,"Stock options, Housing support",Small (50-200),"French, English",25,14.0,2.0,100,29200
Master,2 to 6,Mid-level,2 years,Healthcare,BL,"Car, Housing support",Small (50-200),"English, German",25,16.0,4.0,80,69800
Bachelor,0 to 2,Junior,2 years,IT,VD,Meal vouchers,Startup (<50),French,30,20.0,2.0,80,39700
Master,0 to 0,Intern,6 months,Manufacturing,FR,None,Small (50-200),"French, German",28,24.0,2.0,90,25000
Apprenticeship,0 to 2,Junior,Permanent,Pharma,BS,Stock options,Medium (200-1000),"English, German",25,14.0,2.0,100,85500
Bachelor,2 to 6,Mid-level,Permanent,IT,VD,None,Small (50-200),French,20,14.0,2.0,80,82500
Master,0 to 2,Junior,2 years,IT,ZH,Car,Medium (200-1000),"English, German",25,16.0,2.0,70,69500
Master,4 to 10,Senior,Permanent,Healthcare,BE,,Startup (<50),,25,14.0,2.0,70,80200
Master,0 to 2,Junior,Permanent,Public Sector,BL,"Car, Meal vouchers",Large (1000+),,28,,,80,78600
PhD,4 to 10,Senior,Permanent,Public Sector,BE,AG (train pass),Medium (200-1000),"English, German",23,20.0,4.0,80,147300
PhD,2 to 6,Mid-level,Permanent,IT,ZG,Car,Small (50-200),"French, German",22,,,80,124300
PhD,2 to 6,Mid-level,2 years,Consulting,TG,None,Medium (200-1000),"English, German",30,,,60,71500
Master,0 to 2,Junior,Permanent,IT,AG,Car,Large (1000+),"English, German",26,24.0,4.0,60,65700
Master,2 to 6,Mid-level,Permanent,Pharma,BL,Meal vouchers,Medium (200-1000),German,20,,,70,106500
Bachelor,0 to 2,Junior,1 year,Hospitality,LU,Car,Small (50-200),"French, English, German",25,14.0,3.0,70,31000
Master,0 to 0,Intern,1 year,Manufacturing,VD,,Startup (<50),"French, English",28,18.0,2.0,90,28500
Master,2 to 6,Mid-level,2 years,Education,SO,"Stock options, Car",Startup (<50),German,24,16.0,2.0,100,55500
Master,2 to 6,Mid-level,Permanent,Education,SO,Housing support,Medium (200-1000),"English, German",23,22.0,3.0,80,76200
Bachelor,0 to 2,Junior,2 years,Education,BE,None,Startup (<50),"English, German",25,,,100,28400
Bachelor,0 to 2,Junior,1 year,IT,BE,"AG (train pass), Stock options",Medium (200-1000),"French, English, German",25,14.0,2.0,70,54800
Bachelor,0 to 0,Intern,1 year,Finance,AG,"AG (train pass), Meal vouchers",Medium (200-1000),German,28,14.0,2.0,80,36400
Master,0 to 0,Intern,1 year,Manufacturing,VS,Car,Startup (<50),"French, English, German",23,14.0,2.0,90,25600
Master,2 to 6,Mid-level,Permanent,Construction,VS,None,Large (1000+),"French, German",24,16.0,2.0,100,106800
Master,4 to 10,Senior,Permanent,IT,SH,None,Startup (<50),"English, German",25,16.0,5.0,80,98600
PhD,2 to 6,Mid-level,Permanent,Education,VD,None,Small (50-200),"French, English",30,14.0,2.0,100,105200
Master,4 to 10,Senior,Permanent,Hospitality,VS,Housing support,Small (50-200),"French, English, German",30,14.0,2.0,80,80300
Bachelor,4 to 10,Senior,Permanent,Manufacturing,GR,None,Medium (200-1000),"Italian, German",23,14.0,3.0,70,88500
Bachelor,0 to 2,Junior,2 years,Manufacturing,VD,Car,Small (50-200),"French, English, German",25,14.0,2.0,100,58400
Master,0 to 2,Junior,2 years,Education,ZH,"Housing support, AG (train pass)",Medium (200-1000),German,28,,,70,56700
Master,7 to 20,Manager,Permanent,Manufacturing,TI,,Medium (200-1000),Italian,24,,,80,190800
Apprenticeship,0 to 2,Junior,2 years,Education,ZH,Stock options,Small (50-200),"French, English, German",25,,,60,26400
Bachelor,2 to 6,Mid-level,Permanent,Retail,TI,Housing support,Startup (<50),"Italian, English",26,14.0,2.0,90,40500
Bachelor,2 to 6,Mid-level,Permanent,Energy,OW,Meal vouchers,Large (1000+),German,27,14.0,3.0,80,90400
Master,0 to 2,Junior,Permanent,Retail,BE,"Meal vouchers, Housing support",Medium (200-1000),"French, German",25,14.0,2.0,50,37500
Apprenticeship,0 to 2,Junior,Permanent,Retail,AG,Car,Small (50-200),"English, German",22,14.0,2.0,60,30800
Master,4 to 10,Senior,Permanent,Education,BE,AG (train pass),Medium (200-1000),,30,14.0,2.0,80,114800
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,TI,None,Medium (200-1000),Italian,22,14.0,3.0,80,60700
Master,4 to 10,Senior,Permanent,Construction,SG,Meal vouchers,Large (1000+),German,23,14.0,2.0,100,159500
Master,4 to 10,Senior,Permanent,Manufacturing,SG,"Housing support, Car",Startup (<50),German,23,18.0,2.0,70,68100
Master,4 to 10,Senior,Permanent,Energy,FR,None,Startup (<50),"French, English, German",25,,,100,107000
Apprenticeship,0 to 2,Junior,1 year,Public Sector,GE,"Meal vouchers, AG (train pass)",Medium (200-1000),"French, English",32,20.0,2.0,60,30400
Master,7 to 20,Manager,Permanent,Pharma,TI,None,Large (1000+),Italian,25,,,100,384900
Bachelor,4 to 10,Senior,Permanent,Education,BE,"Car, Stock options",Medium (200-1000),"English, German",30,,,70,89200
Apprenticeship,0 to 2,Junior,Permanent,Education,FR,"AG (train pass), Car",Large (1000+),"French, German",24,,,90,52200
Master,4 to 10,Senior,Permanent,Hospitality,VS,"AG (train pass), Meal vouchers",Small (50-200),"French, German",25,14.0,2.0,100,99700
Master,0 to 2,Junior,2 years,Finance,ZH,None,Medium (200-1000),"English, German",32,,,100,95100
Bachelor,2 to 6,Mid-level,Permanent,Healthcare,BE,Housing support,Small (50-200),"English, German",22,14.0,4.0,100,82200
Apprenticeship,0 to 2,Junior,1 year,Manufacturing,AR,"Car, AG (train pass)",Small (50-200),"French, German",25,18.0,2.0,100,38900
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,SO,"Meal vouchers, Housing support",Large (1000+),"French, German",25,16.0,2.0,100,102800
Bachelor,2 to 6,Mid-level,2 years,IT,SG,Stock options,Startup (<50),German,25,14.0,2.0,90,53700
Master,2 to 6,Mid-level,2 years,Retail,GR,"AG (train pass), Stock options",Startup (<50),"Italian, English, German",26,14.0,2.0,80,44300
Bachelor,0 to 0,Intern,6 months,Consulting,ZH,None,Startup (<50),"French, German",25,14.0,2.0,70,25000
Bachelor,4 to 10,Senior,Permanent,Healthcare,BE,"Meal vouchers, Stock options",Startup (<50),"English, German",27,,,70,65100
Master,0 to 2,Junior,1 year,Education,BE,Meal vouchers,Medium (200-1000),"English, German",28,,,70,47300
Bachelor,0 to 0,Intern,6 months,Construction,VS,"Car, Meal vouchers",Medium (200-1000),"French, English, German",23,,,100,30400
Master,2 to 6,Mid-level,Permanent,Finance,LU,None,Medium (200-1000),German,24,,,90,123100
Master,2 to 6,Mid-level,Permanent,Manufacturing,TI,"Car, Meal vouchers",Large (1000+),,22,14.0,5.0,90,94500
Apprenticeship,0 to 2,Junior,1 year,IT,GE,None,Large (1000+),"French, German",28,16.0,2.0,50,37100
PhD,6 to 15,Lead,Permanent,Energy,ZH,None,Small (50-200),"English, German",30,18.0,2.0,60,144400
Master,4 to 10,Senior,Permanent,Retail,AR,"Meal vouchers, AG (train pass)",Medium (200-1000),"English, German",25,,,80,104100
Apprenticeship,0 to 2,Junior,Permanent,Public Sector,GE,Car,Startup (<50),"French, English",25,,,80,37600
Bachelor,2 to 6,Mid-level,Permanent,Education,BE,"Meal vouchers, Car",Startup (<50),"English, German",24,20.0,2.0,90,50500
Master,0 to 2,Junior,2 years,Consulting,SO,"AG (train pass), Housing support",Small (50-200),,25,14.0,4.0,80,53000
Master,0 to 2,Junior,1 year,Pharma,ZH,Meal vouchers,Medium (200-1000),German,20,14.0,2.0,60,66200
Bachelor,0 to 2,Junior,2 years,Education,ZH,Stock options,Medium (200-1000),"French, English, German",20,,,80,53200
Bachelor,4 to 10,Senior,Permanent,Manufacturing,ZH,AG (train pass),Small (50-200),"English, German",28,16.0,4.0,80,97800
Bachelor,0 to 2,Junior,1 year,Healthcare,ZH,None,Large (1000+),German,23,14.0,2.0,60,46100
Bachelor,4 to 10,Senior,Permanent,Healthcare,FR,"Stock options, Housing support",Startup (<50),"French, English, German",27,14.0,2.0,90,89700
Bachelor,2 to 6,Mid-level,Permanent,Finance,ZH,None,Startup (<50),"French, English, German",25,,,100,109200
Master,4 to 10,Senior,Permanent,Manufacturing,AG,None,Medium (200-1000),"French, English, German",25,,,90,146800
Master,0 to 0,Intern,6 months,Education,BE,Meal vouchers,Large (1000+),"English, German",24,,,80,33100
Master,6 to 15,Lead,Permanent,Construction,BS,"Housing support, Meal vouchers",Medium (200-1000),"French, English, German",30,,,100,224600
Master,4 to 10,Senior,Permanent,Construction,BL,Housing support,Small (50-200),"English, German",23,20.0,3.0,100,117800
Master,0 to 2,Junior,Permanent,Public Sector,BE,"Stock options, AG (train pass)",Medium (200-1000),,23,,,50,37800
Master,4 to 10,Senior,Permanent,Healthcare,SG,"Meal vouchers, Housing support",Large (1000+),"English, German",30,16.0,2.0,70,126700
Master,0 to 0,Intern,6 months,Retail,BE,None,Medium (200-1000),German,25,14.0,5.0,50,25000
Master,2 to 6,Mid-level,2 years,Consulting,BL,"Housing support, Stock options",Large (1000+),"English, German",23,16.0,2.0,70,97600
PhD,7 to 20,Manager,Permanent,Manufacturing,LU,None,Medium (200-1000),"English, German",25,,,100,324100
Master,4 to 10,Senior,Permanent,Education,BE,,Startup (<50),"French, German",25,,,70,68300
PhD,6 to 15,Lead,Permanent,Retail,TG,"Meal vouchers, Car",Startup (<50),German,25,,,80,106000
Master,0 to 2,Junior,1 year,IT,NE,"Stock options, AG (train pass)",Medium (200-1000),"French, English",26,,,100,78500
Master,2 to 6,Mid-level,2 years,Education,BE,Housing support,Startup (<50),,25,14.0,2.0,100,65400
Bachelor,4 to 10,Senior,Permanent,IT,GE,None,Large (1000+),"French, English",25,24.0,2.0,80,170100
Bachelor,0 to 2,Junior,2 years,Public Sector,BE,"Stock options, Meal vouchers",Small (50-200),"English, German",28,,,70,31800
Master,4 to 10,Senior,Permanent,Healthcare,BE,Stock options,Startup (<50),German,24,,,80,79100
Bachelor,2 to 6,Mid-level,Permanent,Energy,ZH,Housing support,Large (1000+),German,30,,,90,113300
Bachelor,2 to 6,Mid-level,Permanent,Retail,SG,Stock options,Small (50-200),,25,,,80,50400
Apprenticeship,0 to 2,Junior,1 year,Manufacturing,BL,None,Startup (<50),German,23,16.0,2.0,80,26500
Bachelor,0 to 2,Junior,2 years,Education,ZH,"Meal vouchers, Stock options",Small (50-200),"English, German",30,24.0,2.0,80,34900
Master,0 to 2,Junior,2 years,Energy,AG,"Meal vouchers, Car",Medium (200-1000),"English, German",24,14.0,2.0,70,59700
Bachelor,4 to 10,Senior,Permanent,Manufacturing,VD,None,Large (1000+),,25,,,90,155500
Master,4 to 10,Senior,Permanent,Public Sector,BE,Meal vouchers,Large (1000+),German,30,,,80,138200
Bachelor,0 to 2,Junior,2 years,Manufacturing,AG,Meal vouchers,Startup (<50),"French, English, German",24,20.0,2.0,60,25000
Master,0 to 2,Junior,1 year,Finance,SO,Stock options,Small (50-200),"English, German",22,,,80,56900
Bachelor,0 to 0,Intern,6 months,Manufacturing,FR,"Car, AG (train pass)",Large (1000+),"French, German",25,14.0,2.0,50,25000
Bachelor,4 to 10,Senior,Permanent,Healthcare,BE,Car,Medium (200-1000),"English, German",23,,,100,141700
Master,4 to 10,Senior,Permanent,Pharma,NE,None,Large (1000+),"French, English",24,14.0,3.0,80,186100
Master,2 to 6,Mid-level,Permanent,Consulting,GE,,Medium (200-1000),"French, English",30,14.0,5.0,80,118800
Bachelor,2 to 6,Mid-level,Permanent,Pharma,AG,Meal vouchers,Large (1000+),"English, German",28,,,90,129700
Master,0 to 2,Junior,Permanent,Education,FR,,Startup (<50),"French, German",20,,,90,42500
Bachelor,2 to 6,Mid-level,2 years,Public Sector,BE,None,Startup (<50),German,24,,,80,45800
Master,0 to 2,Junior,Permanent,Energy,GE,None,Medium (200-1000),French,24,16.0,4.0,70,65700
Bachelor,2 to 6,Mid-level,2 years,Construction,VS,None,Medium (200-1000),"French, English, German",28,18.0,3.0,90,60900
